id,Country,Cases,Deaths,Update_Time
273,Kuwait,18,0,2009-06-01 06:00:00
274,Malaysia,2,0,2009-06-01 06:00:00
275,Mexico,5029,97,2009-06-01 06:00:00
276,Netherlands,3,0,2009-06-01 06:00:00
277,New Zealand,9,0,2009-06-01 06:00:00
278,Norway,4,0,2009-06-01 06:00:00
279,Panama,107,0,2009-06-01 06:00:00
280,Paraguay,5,0,2009-06-01 06:00:00
281,Peru,36,0,2009-06-01 06:00:00
282,Philippines,16,0,2009-06-01 06:00:00
283,Poland,4,0,2009-06-01 06:00:00
284,Portugal,1,0,2009-06-01 06:00:00
285,Romania,3,0,2009-06-01 06:00:00
286,Russia,3,0,2009-06-01 06:00:00
287,Singapore,5,0,2009-06-01 06:00:00
288,Slovakia,2,0,2009-06-01 06:00:00
289,Spain,178,0,2009-06-01 06:00:00
290,Sweden,4,0,2009-06-01 06:00:00
291,Switzerland,8,0,2009-06-01 06:00:00
292,Thailand,2,0,2009-06-01 06:00:00
293,Turkey,4,0,2009-06-01 06:00:00
294,United Kingdom,229,0,2009-06-01 06:00:00
295,United States of America,8975,15,2009-06-01 06:00:00
296,Uruguay,11,0,2009-06-01 06:00:00
297,Venezuela,2,0,2009-06-01 06:00:00
298,Viet Nam,1,0,2009-06-01 06:00:00
299,Argentina,131,0,2009-06-03 06:00:00
300,Australia,501,0,2009-06-03 06:00:00
301,Austria,1,0,2009-06-03 06:00:00
302,Bahamas,1,0,2009-06-03 06:00:00
303,Bahrain,1,0,2009-06-03 06:00:00
304,Belgium,13,0,2009-06-03 06:00:00
305,Bolivia,3,0,2009-06-03 06:00:00
306,Brazil,20,0,2009-06-03 06:00:00
307,Bulgaria,1,0,2009-06-03 06:00:00
308,Canada,1530,2,2009-06-03 06:00:00
309,Chile,313,0,2009-06-03 06:00:00
310,China,69,0,2009-06-03 06:00:00
311,Colombia,20,0,2009-06-03 06:00:00
312,Costa Rica,50,1,2009-06-03 06:00:00
313,Cuba,4,0,2009-06-03 06:00:00
314,Cyprus,1,0,2009-06-03 06:00:00
